series,fund,lag,cost_bps,deployment,cap,harvest,rebalance,average_reserve_weight,median_reserve_weight,fraction_reserve_zero,fraction_reserve_at_cap,fraction_reserve_above_cap,average_risky_exposure,average_effective_equity_exposure,average_leverage,average_total_safe_asset_weight,average_risky_sleeve_leverage,fraction_at_1x,fraction_at_2x,fraction_at_3x,fraction_sleeve_at_1x,fraction_sleeve_at_2x,fraction_sleeve_at_3x
NO_RESERVE,UPRO,LAG1,0,staged,0.15,0.1,rule,0,0,1,,,1,2.514862312,2.514862312,0,2.514862312,0.2425688438,0,0.7574311562,0.2425688438,0,0.7574311562
FIXED_90_10,UPRO,LAG1,0,staged,0.15,0.1,quarterly,0.09853525226,0.09748999479,0,,,0.9014647477,2.271307671,2.271307671,0.09853525226,2.514862312,0,0,0,0.2425688438,0,0.7574311562
FIXED_85_15,UPRO,LAG1,0,staged,0.15,0.1,quarterly,0.1478127947,0.1464391939,0,,,0.8521872053,2.149115205,2.149115205,0.1478127947,2.514862312,0,0,0,0.2425688438,0,0.7574311562
HWM_RESERVE,UPRO,LAG1,0,staged,0.15,0.1,rule,0.01192490817,0.000593219758,0.4520330053,0,0,0.9880750918,2.483691463,2.483691463,0.01192490817,2.514862312,0.1452430659,0,0.3067899394,0.2425688438,0,0.7574311562
ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,0,staged,0.2,0.1,rule,0.03571447424,0.002094524747,0.4766875435,0,0,0.9642855258,2.418640292,2.418640292,0.03571447424,2.514862312,0.1527984889,0,0.3238890546,0.2425688438,0,0.7574311562
HWM_DRAWDOWN,UPRO,LAG1,0,drawdown,0.15,0.1,rule,0.07289534673,0.06921634591,0.1056765086,0,0.05050203798,0.9271046533,2.339710709,2.339710709,0.07289534673,2.514862312,0.03121582662,0,0.07446068198,0.2425688438,0,0.7574311562
BAND_DRAWDOWN,UPRO,LAG1,0,drawdown,0.2,0.1,rule,0.06976497374,0.0679181129,0.1118401432,0,0,0.9302350263,2.345117858,2.345117858,0.06976497374,2.514862312,0.03091758624,0,0.08092255691,0.2425688438,0,0.7574311562
SP500_1X,UPRO,LAG1,0,none,0,0,none,0,0,1,,,1,1,1,0,1,1,0,0,1,0,0
UPRO_ALWAYS,UPRO,LAG1,0,none,0,0,none,0,0,1,,,1,3,3,0,3,0,0,1,0,0,1
UPRO_SMA_TO_TBILL,UPRO,LAG1,0,none,0,0,none,0,0,1,,,1,2.272293469,2.272293469,0.2425688438,2.272293469,0,0,0.7574311562,0,0,0.7574311562
NO_RESERVE,UPRO,LAG1,10,staged,0.15,0.1,rule,0,0,1,,,1,2.514862312,2.514862312,0,2.514862312,0.2425688438,0,0.7574311562,0.2425688438,0,0.7574311562
FIXED_90_10,UPRO,LAG1,10,staged,0.15,0.1,quarterly,0.09853525226,0.09748999479,0,,,0.9014647477,2.271307671,2.271307671,0.09853525226,2.514862312,0,0,0,0.2425688438,0,0.7574311562
FIXED_85_15,UPRO,LAG1,10,staged,0.15,0.1,quarterly,0.1478127947,0.1464391939,0,,,0.8521872053,2.149115205,2.149115205,0.1478127947,2.514862312,0,0,0,0.2425688438,0,0.7574311562
HWM_RESERVE,UPRO,LAG1,10,staged,0.15,0.1,rule,0.01138440448,0.0003616489473,0.4600854956,0,0,0.9886155955,2.485256894,2.485256894,0.01138440448,2.514862312,0.1452430659,0,0.3148424297,0.2425688438,0,0.7574311562
ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,10,staged,0.2,0.1,rule,0.03571346763,0.00208839367,0.4766875435,0,0,0.9642865324,2.418642857,2.418642857,0.03571346763,2.514862312,0.1527984889,0,0.3238890546,0.2425688438,0,0.7574311562
HWM_DRAWDOWN,UPRO,LAG1,10,drawdown,0.15,0.1,rule,0.07072959508,0.06592673353,0.1091559797,0,0.04960731683,0.9292704049,2.345360069,2.345360069,0.07072959508,2.514862312,0.03121582662,0,0.0779401531,0.2425688438,0,0.7574311562
BAND_DRAWDOWN,UPRO,LAG1,10,drawdown,0.2,0.1,rule,0.06970898834,0.06786527218,0.1118401432,0,0,0.9302910117,2.345241461,2.345241461,0.06970898834,2.514862312,0.03091758624,0,0.08092255691,0.2425688438,0,0.7574311562
SP500_1X,UPRO,LAG1,10,none,0,0,none,0,0,1,,,1,1,1,0,1,1,0,0,1,0,0
UPRO_ALWAYS,UPRO,LAG1,10,none,0,0,none,0,0,1,,,1,3,3,0,3,0,0,1,0,0,1
UPRO_SMA_TO_TBILL,UPRO,LAG1,10,none,0,0,none,0,0,1,,,1,2.272293469,2.272293469,0.2425688438,2.272293469,0,0,0.7574311562,0,0,0.7574311562
NO_RESERVE,UPRO,LAG1,25,staged,0.15,0.1,rule,0,0,1,,,1,2.514862312,2.514862312,0,2.514862312,0.2425688438,0,0.7574311562,0.2425688438,0,0.7574311562
FIXED_90_10,UPRO,LAG1,25,staged,0.15,0.1,quarterly,0.09853525226,0.09748999479,0,,,0.9014647477,2.271307671,2.271307671,0.09853525226,2.514862312,0,0,0,0.2425688438,0,0.7574311562
FIXED_85_15,UPRO,LAG1,25,staged,0.15,0.1,quarterly,0.1478127947,0.1464391939,0,,,0.8521872053,2.149115205,2.149115205,0.1478127947,2.514862312,0,0,0,0.2425688438,0,0.7574311562
HWM_RESERVE,UPRO,LAG1,25,staged,0.15,0.1,rule,0.01067661084,0.0001422592978,0.4764887166,0,0,0.9893233892,2.487292266,2.487292266,0.01067661084,2.514862312,0.1452430659,0,0.3312456507,0.2425688438,0,0.7574311562
ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,25,staged,0.2,0.1,rule,0.03571195438,0.002079196851,0.4766875435,0,0,0.9642880456,2.418646714,2.418646714,0.03571195438,2.514862312,0.1527984889,0,0.3238890546,0.2425688438,0,0.7574311562
HWM_DRAWDOWN,UPRO,LAG1,25,drawdown,0.15,0.1,rule,0.06732031061,0.0619076352,0.1124366239,0,0.04652549955,0.9326796894,2.354243212,2.354243212,0.06732031061,2.514862312,0.03121582662,0,0.0812207973,0.2425688438,0,0.7574311562
BAND_DRAWDOWN,UPRO,LAG1,25,drawdown,0.2,0.1,rule,0.06962420383,0.06781059491,0.1118401432,0,0,0.9303757962,2.345428633,2.345428633,0.06962420383,2.514862312,0.03091758624,0,0.08092255691,0.2425688438,0,0.7574311562
SP500_1X,UPRO,LAG1,25,none,0,0,none,0,0,1,,,1,1,1,0,1,1,0,0,1,0,0
UPRO_ALWAYS,UPRO,LAG1,25,none,0,0,none,0,0,1,,,1,3,3,0,3,0,0,1,0,0,1
UPRO_SMA_TO_TBILL,UPRO,LAG1,25,none,0,0,none,0,0,1,,,1,2.272293469,2.272293469,0.2425688438,2.272293469,0,0,0.7574311562,0,0,0.7574311562
NO_RESERVE,UPRO,LAG1,50,staged,0.15,0.1,rule,0,0,1,,,1,2.514862312,2.514862312,0,2.514862312,0.2425688438,0,0.7574311562,0.2425688438,0,0.7574311562
FIXED_90_10,UPRO,LAG1,50,staged,0.15,0.1,quarterly,0.09853525226,0.09748999479,0,,,0.9014647477,2.271307671,2.271307671,0.09853525226,2.514862312,0,0,0,0.2425688438,0,0.7574311562
FIXED_85_15,UPRO,LAG1,50,staged,0.15,0.1,quarterly,0.1478127947,0.1464391939,0,,,0.8521872053,2.149115205,2.149115205,0.1478127947,2.514862312,0,0,0,0.2425688438,0,0.7574311562
HWM_RESERVE,UPRO,LAG1,50,staged,0.15,0.1,rule,0.009720742948,3.266964441e-06,0.4997514663,0,0,0.9902792571,2.489999524,2.489999524,0.009720742948,2.514862312,0.1452430659,0,0.3604732081,0.2425688438,0,0.7574311562
ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,50,staged,0.2,0.1,rule,0.03570942337,0.002063868468,0.4766875435,0,0,0.9642905766,2.418653165,2.418653165,0.03570942337,2.514862312,0.1527984889,0,0.3238890546,0.2425688438,0,0.7574311562
HWM_DRAWDOWN,UPRO,LAG1,50,drawdown,0.15,0.1,rule,0.06123867058,0.05642636732,0.1275474699,0,0.04155482652,0.9387613294,2.370009991,2.370009991,0.06123867058,2.514862312,0.03121582662,0,0.0963316433,0.2425688438,0,0.7574311562
BAND_DRAWDOWN,UPRO,LAG1,50,drawdown,0.2,0.1,rule,0.06948071595,0.06773208344,0.1118401432,0,0,0.9305192841,2.34574537,2.34574537,0.06948071595,2.514862312,0.03091758624,0,0.08092255691,0.2425688438,0,0.7574311562
SP500_1X,UPRO,LAG1,50,none,0,0,none,0,0,1,,,1,1,1,0,1,1,0,0,1,0,0
UPRO_ALWAYS,UPRO,LAG1,50,none,0,0,none,0,0,1,,,1,3,3,0,3,0,0,1,0,0,1
UPRO_SMA_TO_TBILL,UPRO,LAG1,50,none,0,0,none,0,0,1,,,1,2.272293469,2.272293469,0.2425688438,2.272293469,0,0,0.7574311562,0,0,0.7574311562
NO_RESERVE,UPRO,LAG2,0,staged,0.15,0.1,rule,0,0,1,,,1,2.514663485,2.514663485,0,2.514663485,0.2426682573,0,0.7573317427,0.2426682573,0,0.7573317427
FIXED_90_10,UPRO,LAG2,0,staged,0.15,0.1,quarterly,0.09907838862,0.09788103635,0,,,0.9009216114,2.26996329,2.26996329,0.09907838862,2.514663485,0,0,0,0.2426682573,0,0.7573317427
FIXED_85_15,UPRO,LAG2,0,staged,0.15,0.1,quarterly,0.1485703772,0.1469945969,0,,,0.8514296228,2.147307163,2.147307163,0.1485703772,2.514663485,0,0,0,0.2426682573,0,0.7573317427
HWM_RESERVE,UPRO,LAG2,0,staged,0.15,0.1,rule,0.01243182105,0.0009626575696,0.3909931405,0,0,0.987568179,2.482288082,2.482288082,0.01243182105,2.514663485,0.1064718163,0,0.2845213242,0.2426682573,0,0.7573317427
